Amazon Unique id,Amazon Product name,Flipkart Unique id,Flipkart Product name,Similarity
ff1a8e7edc438d81753fb1d1e961072a,Kielz Ladies Boots,3a9689400032bf48b5487b9a878b90e7,Kielz Ladies Boots,1.0000000000000002
fb2392b67efbdcd335221c79b880f303,Steppings Trendy Boots,5b60beedcf050b87e5b5ffcf3291086e,Salt N Pepper 13-516 Greta Red Boots,1.0000000000000002
cdc184d8b1f13b6b856e44260398cb98,Rialto Boots,b8950a817c882307669cc6cdc34fbb93,Fluid DMF-002-GR01 Digital Watch  - For Boys,1.0000000000000002
eb7148dc532ca3a71f0c88fe1d617b4d,Bruno Manetti Cannelita Boots,a919c3ae44e0f1d2e1e5cafe7ea057ae,Salt N Pepper 13-167 Marsha Red Boots,1.000000000000002
a8f99924be2c3dc4c6c4d0208f55cc66,Stylistry Maxis Shde6603brwoboot3104 Boots,08452abdadb3db1e686b94a9c52fc7b6,"Cartier W6701005 Analog Watch  - For Boys, Men",1.0000000000000002
1cbd0a513268feade315cb09bdfb66e4,"Felix Y 39 Analog Watch  - For Boys, Men",a8f99924be2c3dc4c6c4d0208f55cc66,Stylistry Maxis Shde6603brwoboot3104 Boots,1.0000000000000002
c6c1eca6e11a3b8e347feb7c35a29680,Sakay Country Leather Boots,85bf557c3728428485761f3df2289fc0,Kielz Boots,1.0000000000000004
af6b07bd021da2fba6f993eeda27b2ed,"Franck Bella FB0128B Analog Watch  - For Men, Boys",da9e88f44d938a63290cec6ab8bb1871,La Briza Black Boots,1.0000000000000002
78c73a39ced929d204418bcc80f3058d,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",af6b07bd021da2fba6f993eeda27b2ed,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1.0000000000000002
eb4f1bcaca52402bc2ec1a93dce85013,Vencer Stella 7lyt1011 Digital Watch  - For Boys,78c73a39ced929d204418bcc80f3058d,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",1.0000000000000002
8782cc47269fa18d54998b55ed1124a9,Kielz Ladies Boots,1e612e880fe7119f93caf9a1c5ffb6b4,Kielz Ladies Boots,1.0000000000000002
8e802c5ef0aa3d98654d8b61e21a9cee,Clincher Semonday Boots,189fa66a5fa6f08d2802a62ecf0be298,"Titan 1639SL03 Analog Watch  - For Boys, Men",1.0000000000000002
522cc294663f3cf4bf1774d060ef949e,Roxy Boots,4527bbaf1bec166066c5ca90e4992655,Belle Gambe Boots,1.0000000000000002
36b84f61c91a47822d6863963aad5812,Lee Men's Jeans,1120bc768623572513df956172ffefeb,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1.0000000000000002
5479bb7028827d60000720a2c135976a,Jack klein BlackLed Digital Watch  - For Boys,a9078723d7abc68d9f5adaf42d502583,Bruno Manetti 676 Boots,1.0000000000000002
733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",65fee026fb77433fdcc4ad8c2f6a0239,"Estilo 1056 Analog Watch  - For Boys, Men",1.0000000000000004
733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",92575fe20a9a1795c4e26c9299166122,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",1.0000000000000004
377acf980df19ffec9fceb3374045aef,Shuz Touch Boots,5479bb7028827d60000720a2c135976a,Jack klein BlackLed Digital Watch  - For Boys,1.0000000000000002
5f081c3b36ae72605ad87d65561802f8,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",da1708ea7bc596fd298546edef0bccfc,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",1.0000000000000002
e48133816aeb071339fcb03b9e8c0c32,Selfie Black Denim Boots,906b3a5912453ffced2dbd0fc4bd495c,Bonzer Boots,1.000000000000001
